imag,real,log(imag),log(real)
-0.24502,0.96815,-0.24787,-0.0013235
0.08787,0.9941,0.088163,-0.0020286
-0.08787,0.9941,-0.088163,-0.0020286
0.099617,0.99423,0.099862,-0.00079561
-0.099617,0.99423,-0.099862,-0.00079561
0.90258,-0.42178,2.0079,-0.0037378
-0.90258,-0.42178,-2.0079,-0.0037378
0.41485,-0.90656,2.7124,-0.0030329
-0.41485,-0.90656,-2.7124,-0.0030329
0.40012,-0.91833,2.7307,0.001713
-0.40012,-0.91833,-2.7307,0.001713
0.40514,-0.91091,2.7231,-0.0030619
-0.40514,-0.91091,-2.7231,-0.0030619
0.90687,-0.41724,2.002,-0.0017502
-0.90687,-0.41724,-2.002,-0.0017502
0.9136,-0.40388,1.987,-0.0011136
-0.9136,-0.40388,-1.987,-0.0011136
0.38959,-0.9197,2.7409,-0.0011896
-0.38959,-0.9197,-2.7409,-0.0011896
0.8762,-0.43069,2.0277,-0.023953
-0.8762,-0.43069,-2.0277,-0.023953
0.9148,0.40386,1.1551,-1.99E-05
-0.9148,0.40386,-1.1551,-1.99E-05
0.92066,0.39233,1.168,0.00076901
-0.92066,0.39233,-1.168,0.00076901
0.90871,0.40229,1.154,-0.0062462
-0.90871,0.40229,-1.154,-0.0062462
0.23386,0.96861,0.2369,-0.0035657
-0.23386,0.96861,-0.2369,-0.0035657
0.1089,0.99142,0.10941,-0.0026228
-0.1089,0.99142,-0.10941,-0.0026228
0.22707,0.97481,0.22885,0.00090753
-0.22707,0.97481,-0.22885,0.00090753
0.11886,0.99183,0.11927,-0.0010756
-0.11886,0.99183,-0.11927,-0.0010756
0.13551,0.99131,0.13586,0.00053354
-0.13551,0.99131,-0.13586,0.00053354
0.12424,0.99023,0.12481,-0.0020127
-0.12424,0.99023,-0.12481,-0.0020127
0.95925,0.33502,1.2348,0.015944
-0.95925,0.33502,-1.2348,0.015944
0.9219,0.38247,1.1775,-0.0019113
-0.9219,0.38247,-1.1775,-0.0019113
0.91513,-0.39684,1.98,-0.0025395
-0.91513,-0.39684,-1.98,-0.0025395
0.38271,-0.92119,2.7478,-0.0024723
-0.38271,-0.92119,-2.7478,-0.0024723
0.37589,-0.92604,2.756,-0.00057608
-0.37589,-0.92604,-2.756,-0.00057608
0.93687,0.3602,1.2038,0.0037216
-0.93687,0.3602,-1.2038,0.0037216
0.92226,-0.38729,1.9684,0.00027625
-0.92226,-0.38729,-1.9684,0.00027625
0.14328,0.98771,0.14406,-0.0019516
-0.14328,0.98771,-0.14406,-0.0019516
0.3548,-0.9361,2.7793,0.0010809
-0.3548,-0.9361,-2.7793,0.0010809
0.36587,-0.92788,2.766,-0.0025995
-0.36587,-0.92788,-2.766,-0.0025995
0.92792,0.37141,1.1901,-0.00051187
-0.92792,0.37141,-1.1901,-0.00051187
0.88903,-0.39706,1.9908,-0.026689
-0.88903,-0.39706,-1.9908,-0.026689
0.92711,-0.37234,1.9527,-0.00091806
-0.92711,-0.37234,-1.9527,-0.00091806
0.92991,-0.36288,1.9429,-0.0017954
-0.92991,-0.36288,-1.9429,-0.0017954
0.92892,0.36246,1.1988,-0.0028733
-0.92892,0.36246,-1.1988,-0.0028733
0.9196,-0.37259,1.9557,-0.0078157
-0.9196,-0.37259,-1.9557,-0.0078157
0.93529,0.34831,1.2143,-0.0019596
-0.93529,0.34831,-1.2143,-0.0019596
0.2017,0.97659,0.20367,-0.0027994
-0.2017,0.97659,-0.20367,-0.0027994
0.16843,0.9862,0.16915,0.00047809
-0.16843,0.9862,-0.16915,0.00047809
0.1915,0.97788,0.19338,-0.0035516
-0.1915,0.97788,-0.19338,-0.0035516
0.1782,0.98227,0.17946,-0.0017001
-0.1782,0.98227,-0.17946,-0.0017001
0.1504,0.98252,0.1519,-0.0060509
-0.1504,0.98252,-0.1519,-0.0060509
0.21226,0.97508,0.21434,-0.0020892
-0.21226,0.97508,-0.21434,-0.0020892
0.21751,0.97368,0.21978,-0.0023232
-0.21751,0.97368,-0.21978,-0.0023232
0.159,0.98436,0.16014,-0.0028881
-0.159,0.98436,-0.16014,-0.0028881
0.18298,0.97948,0.18469,-0.0035777
-0.18298,0.97948,-0.18469,-0.0035777
0.94139,0.33716,1.2269,-5.31E-05
-0.94139,0.33716,-1.2269,-5.31E-05
0.34835,-0.93622,2.7854,-0.0010768
-0.34835,-0.93622,-2.7854,-0.0010768
0.34079,-0.94168,2.7944,0.0014492
-0.34079,-0.94168,-2.7944,0.0014492
0.94178,0.32891,1.2348,-0.0024351
-0.94178,0.32891,-1.2348,-0.0024351
0.32982,-0.94456,2.8057,0.00049137
-0.32982,-0.94456,-2.8057,0.00049137
0.9291,-0.35193,1.9329,-0.0064963
-0.9291,-0.35193,-1.9329,-0.0064963
0.93878,-0.34578,1.9237,0.00043862
-0.93878,-0.34578,-1.9237,0.00043862
0.95004,0.31995,1.2459,0.0024717
-0.95004,0.31995,-1.2459,0.0024717
0.94551,-0.33028,1.9069,0.0015398
-0.94551,-0.33028,-1.9069,0.0015398
0.93512,-0.3391,1.9187,-0.0053134
-0.93512,-0.3391,-1.9187,-0.0053134
0.32222,-0.94281,2.8123,-0.0036579
-0.32222,-0.94281,-2.8123,-0.0036579
0.9497,-0.31507,1.8911,0.00059536
-0.9497,-0.31507,-1.8911,0.00059536
0.93769,-0.31897,1.8987,-0.0095846
-0.93769,-0.31897,-1.8987,-0.0095846
0.9569,0.30001,1.267,0.0028228
-0.9569,0.30001,-1.267,0.0028228
0.95278,0.30357,1.2624,-3.07E-05
-0.95278,0.30357,-1.2624,-3.07E-05
0.9478,-0.30448,1.8816,-0.0045062
-0.9478,-0.30448,-1.8816,-0.0045062
0.30678,-0.95018,2.8293,-0.0015246
-0.30678,-0.95018,-2.8293,-0.0015246
0.30975,-0.94739,2.8256,-0.003263
-0.30975,-0.94739,-2.8256,-0.003263
0.95337,-0.29348,1.8694,-0.0024818
-0.95337,-0.29348,-1.8694,-0.0024818
0.92439,0.3021,1.2549,-0.027877
-0.92439,0.3021,-1.2549,-0.027877
0.95961,0.28349,1.2835,0.00060941
-0.95961,0.28349,-1.2835,0.00060941
0.9523,0.27989,1.2849,-0.0074497
-0.9523,0.27989,-1.2849,-0.0074497
0.96209,0.2661,1.301,-0.0017851
-0.96209,0.2661,-1.301,-0.0017851
0.96296,-0.28115,1.8549,0.0031588
-0.96296,-0.28115,-1.8549,0.0031588
0.95433,0.27053,1.2946,-0.0081023
-0.95433,0.27053,-1.2946,-0.0081023
0.94844,-0.2886,1.8662,-0.0086605
-0.94844,-0.2886,-1.8662,-0.0086605
0.96455,-0.26662,1.8405,0.00072229
-0.96455,-0.26662,-1.8405,0.00072229
0.32807,-0.90722,2.7946,-0.035917
-0.32807,-0.90722,-2.7946,-0.035917
0.95322,-0.27002,1.8468,-0.0093147
-0.95322,-0.27002,-1.8468,-0.0093147
0.29619,-0.95194,2.8399,-0.00305
-0.29619,-0.95194,-2.8399,-0.00305
0.28884,-0.95484,2.8478,-0.0024343
-0.28884,-0.95484,-2.8478,-0.0024343
0.27936,-0.96059,2.8586,0.00039027
-0.27936,-0.96059,-2.8586,0.00039027
0.2499,-0.96954,2.8893,0.0012254
-0.2499,-0.96954,-2.8893,0.0012254
0.26885,-0.96088,2.8688,-0.0022198
-0.26885,-0.96088,-2.8688,-0.0022198
0.26121,-0.96124,2.8763,-0.0039066
-0.26121,-0.96124,-2.8763,-0.0039066
0.96533,0.25555,1.312,-0.00142
-0.96533,0.25555,-1.312,-0.00142
0.97611,0.23553,1.334,0.0041116
-0.97611,0.23553,-1.334,0.0041116
0.97031,0.24476,1.3237,0.00070625
-0.97031,0.24476,-1.3237,0.00070625
0.96204,-0.2564,1.8313,-0.0043848
-0.96204,-0.2564,-1.8313,-0.0043848
0.96854,-0.24728,1.8208,-0.00039238
-0.96854,-0.24728,-1.8208,-0.00039238
0.23406,-0.97408,2.9058,0.0018012
-0.23406,-0.97408,-2.9058,0.0018012
0.25034,-0.95987,2.8865,-0.0080575
-0.25034,-0.95987,-2.8865,-0.0080575
0.23502,-0.97053,2.904,-0.0014188
-0.23502,-0.97053,-2.904,-0.0014188
0.97307,0.22742,1.3412,-0.00070214
-0.97307,0.22742,-1.3412,-0.00070214
0.97514,0.21834,1.3505,-0.0007154
-0.97514,0.21834,-1.3505,-0.0007154
0.96992,-0.23526,1.8088,-0.0019615
-0.96992,-0.23526,-1.8088,-0.0019615
0.97358,0.2094,1.3589,-0.0041681
-0.97358,0.2094,-1.3589,-0.0041681
0.97265,-0.22726,1.8003,-0.00115
-0.97265,-0.22726,-1.8003,-0.00115
0.97483,-0.21772,1.7905,-0.0011574
-0.97483,-0.21772,-1.7905,-0.0011574
0.9799,-0.20208,1.7742,0.00051959
-0.9799,-0.20208,-1.7742,0.00051959
0.2164,-0.97093,2.9223,-0.0052585
-0.2164,-0.97093,-2.9223,-0.0052585
0.214,-0.97343,2.9252,-0.0033302
-0.214,-0.97343,-2.9252,-0.0033302
0.19583,-0.98088,2.9445,0.00023942
-0.19583,-0.98088,-2.9445,0.00023942
0.18341,-0.98168,2.9569,-0.0013317
-0.18341,-0.98168,-2.9569,-0.0013317
0.20434,-0.97721,2.9355,-0.001653
-0.20434,-0.97721,-2.9355,-0.001653
0.17638,-0.98321,2.9641,-0.0010969
-0.17638,-0.98321,-2.9641,-0.0010969
0.15519,-0.99115,2.9863,0.0032176
-0.15519,-0.99115,-2.9863,0.0032176
