Period (days),Log of Amplitude
281.4824591,4.75317662
281.6776355,4.755015467
281.8729472,4.756854056
282.0683944,4.758692372
282.2639771,4.760530396
282.4596954,4.762368111
282.6555494,4.7642055
282.8515392,4.766042542
283.0476649,4.76787922
283.2439266,4.769715514
283.4403244,4.771551405
283.6368584,4.773386872
283.8335286,4.775221895
284.0303352,4.777056454
284.2272783,4.778890526
284.424358,4.780724091
284.6215742,4.782557127
284.8189273,4.78438961
285.0164171,4.78622152
285.214044,4.788052832
285.4118078,4.789883523
285.6097088,4.791713569
285.807747,4.793542947
286.0059225,4.795371632
286.2042354,4.797199599
286.4026858,4.799026823
286.6012738,4.800853279
286.7999996,4.802678941
286.9988631,4.804503783
287.1978645,4.806327778
287.3970039,4.8081509
287.5962814,4.809973121
287.795697,4.811794415
287.995251,4.813614754
288.1949433,4.815434109
288.394774,4.817252453
288.5947433,4.819069757
288.7948513,4.820885993
288.9950981,4.82270113
289.1954836,4.824515141
289.3960082,4.826327994
289.5966717,4.828139661
289.7974744,4.829950111
289.9984164,4.831759314
290.1994976,4.833567239
290.4007183,4.835373855
290.6020785,4.837179131
290.8035784,4.838983036
291.0052179,4.840785538
291.2069973,4.842586605
291.4089166,4.844386205
291.6109759,4.846184305
291.8131753,4.847980875
292.0155149,4.849775879
292.2179948,4.851569286
292.420615,4.853361063
292.6233758,4.855151176
292.8262772,4.856939592
293.0293193,4.858726277
293.2325021,4.860511197
293.4358259,4.862294318
293.6392906,4.864075605
293.8428964,4.865855026
294.0466434,4.867632544
294.2505316,4.869408126
294.4545613,4.871181736
294.6587324,4.87295334
294.863045,4.874722901
295.0674994,4.876490386
295.2720955,4.878255759
295.4768335,4.880018984
295.6817134,4.881780025
295.8867354,4.883538847
296.0918995,4.885295414
296.2972059,4.887049689
296.5026547,4.888801638
296.7082459,4.890551223
296.9139797,4.892298408
297.1198561,4.894043157
297.3258753,4.895785434
297.5320374,4.897525201
297.7383423,4.899262423
297.9447904,4.900997063
298.1513816,4.902729083
298.358116,4.904458447
298.5649938,4.906185119
298.772015,4.907909061
298.9791798,4.909630236
299.1864882,4.911348608
299.3939403,4.913064138
299.6015363,4.914776791
299.8092763,4.916486529
300.0171603,4.918193314
300.2251884,4.91989711
300.4333608,4.92159788
300.6416775,4.923295585
300.8501387,4.92499019
301.0587444,4.926681656
301.2674948,4.928369946
301.4763899,4.930055024
301.6854298,4.931736851
301.8946147,4.933415392
302.1039447,4.935090607
302.3134197,4.936762461
302.5230401,4.938430916
302.7328058,4.940095934
302.9427169,4.941757479
303.1527736,4.943415514
303.3629759,4.94507
303.573324,4.946720902
303.7838179,4.948368183
303.9944578,4.950011804
304.2052438,4.95165173
304.4161759,4.953287923
304.6272542,4.954920346
304.838479,4.956548964
305.0498501,4.958173738
305.2613679,4.959794632
305.4730323,4.96141161
305.6848434,4.963024635
